season,round,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2021,4,False,False,False,False,True,bottas,3,3,32,0,4,101,2,1,0.132000000000005,31
2021,4,False,False,False,False,True,leclerc,4,4,28,0,5,42,0,4,0.7690000000000055,23
2021,4,False,False,False,False,True,ocon,5,9,8,0,9,13,0,5,0.8389999999999986,24
2021,4,False,False,False,False,True,sainz,6,7,14,0,8,42,0,4,0.8790000000000049,26
2021,4,False,False,False,False,True,ricciardo,7,6,16,0,7,53,0,3,0.8810000000000002,31
2021,4,False,False,False,False,True,perez,8,5,22,0,6,83,1,2,0.9599999999999937,31
2021,4,False,False,False,False,True,norris,9,8,37,0,3,53,0,3,1.2690000000000055,21
2021,4,False,False,False,False,True,alonso,10,17,5,0,12,13,0,5,1.4059999999999917,39
2021,4,False,False,False,False,True,stroll,11,11,5,0,11,5,0,7,1.233000000000004,22
2021,4,False,False,False,False,True,gasly,12,10,7,0,10,9,0,6,1.2409999999999997,25
2021,4,False,False,False,False,True,vettel,13,13,0,0,16,5,0,7,1.338000000000008,33
2021,4,False,False,False,False,True,giovinazzi,14,15,0,0,15,0,0,8,1.6149999999999949,27
2021,4,False,False,False,False,True,russell,15,14,0,0,17,0,0,9,2.4129999999999967,23
2021,4,False,False,False,False,True,tsunoda,16,20,2,0,13,9,0,6,1.8149999999999977,20
2021,4,False,False,False,False,True,raikkonen,17,12,0,0,14,0,0,8,2.176000000000002,41
2021,4,False,False,False,False,True,mick_schumacher,18,18,0,0,18,0,0,10,2.3760000000000048,22
2021,4,False,False,False,False,True,latifi,19,16,0,0,20,0,0,9,2.4779999999999944,25
2021,4,False,False,False,False,True,mazepin,20,19,0,0,19,0,0,10,3.0660000000000025,22
2021,5,True,False,False,False,False,leclerc,1,20,40,0,5,60,0,4,0.0,23
2021,5,True,False,False,False,False,max_verstappen,2,1,80,1,2,112,1,2,0.22999999999998977,23
2021,5,True,False,False,False,False,bottas,3,19,47,0,3,141,3,1,0.25499999999999545,31
